English,Bangla
Both Of Them,তাদের উভয়
I Would Go,আমি যাবো
As Much As,যত বেশি সম্ভব
On The Other Hand,অন্য দিকে
Three People,তিন জনের
On The Ship,জাহাজে
Current,কারেন্ট
Thomas,টমাস
How Many,কতগুলো
French,ফরাসি
Survived,বেঁচে গেল
Also For,এছাড়াও জন্য
Discovery,আবিষ্কার
Was Going,যাচ্ছিলাম
Target,টার্গেট
The Moment,মুহূর্ত
Horrible,ভয়ঙ্কর
His Excellency,মহামান্য
The Mystery,রহস্য
I Would Give,আমি দিতে হবে
Poison,বিষ
Will Know,জানতে হবে
Proud Of,গর্বিত
Of Horse,ঘোড়ার
Unsteady,অস্থির
Reach,পৌঁছানো
Wealth,ধন
Whole,পুরো
Specific,নির্দিষ্ট
Boring,বিরক্তিকর
In The Month,মাসে
In Minutes,মিনিটে
Tension,চিন্তা
In Fear,ভয়
Hasan,হাসান
Respected,সম্মানিত
To Cut,কাটতে
Appeared,হাজির
America,আমেরিকা
Wrapped Up,আচ্ছন্ন
Heart,হৃদয়
Was Saying,বলছিল
Something Else,অন্যকিছু
With The Help,সাহায্যের সাথে
Allah,আল্লাহ
On The Floor,তলায়
Freedom,স্বাধীনতা
Telling,বলছে
The Rush,ভিড়
The Cat,বিড়াল
The Third,তৃতীয়
That Means,এর মানে
Radio,রেডিও
Madness,পাগলামি
Capable Of,যোগ্যতাসম্পন্ন
Would Have Lived,বেঁচে থাকত
Happening,ঘটছে
Tied Up,বেঁধে রাখা
Blind,অন্ধ
Whenever,যখনই
To Call,কল করতে
Doesn'T,না
Of Honor,অফ অনার
Next To,এর পরের
Of Things,কিছু
Honest,সৎ
To Pick Up,তুলে নিতে
Dog'S,কুকুরের
Last Time,গত বার
Living,বসবাস
Trapped,আটকা পড়েছে
Of The Mountain,পর্বত এর
Of Others,অন্যদের
Amount,পরিমাণ
Increase,বৃদ্ধি
Crying,ক্রন্দিত
The First Time,প্রথমবার
Convenience,সুবিধা
The Knife,ছুরিটি
As A Result,একটি ফলাফল হিসাবে
To A Friend,একজন বন্ধুর প্রতি
The Chief,নেতা
Magician,ঐন্দ্রজালিক
Ancient,প্রাচীন
Going On,যাচ্ছে
The Bell,ঘন্টাটি
In Trouble,সমস্যার মধ্যে
Chris,ক্রিস
The Milk,দুধ
Once Upon A Time,এককালে
Of Danger,বিপদের
Shams,শামস
Arthur,আর্থার
To Happen,ঘটতে
In The Forest,বনে
Of The River,নদীর
Watch,ঘড়ি
The Negro,নিগ্রো
Account,হিসাব
Perfect,পারফেক্ট
You Left,তুমি চলে গেছো
Wearing,পরা
The Planet,গ্রহ
Of The Sun,সূর্যের
Details,বিস্তারিত
Result,ফলাফল
The Chest,বুক
Billy,বিলি
Quietly,চুপচাপ
Grace,অনুগ্রহ
Smart,স্মার্ট
Haramzada,হারামজাদা
Impression,ছাপ
Sayem,সায়েম
The Seat,আসনটি
In The Pocket,পকেটে
Of Seconds,সেকেন্ডের
Frodo,ফ্রোডো
Inform,অবহিত করুন
The Cake,পিঠা
Let It Be,এটা হতে দাও
The Pilot,পরীক্ষামূলক
The Shit,বিষ্ঠা
Logan,লগান
Stomach,পেট
Ayala,আয়লা
Response,প্রতিক্রিয়া
Sexual Intercourse,যৌন মিলন
The Monster,দৈত্য
In The Middle,মাঝখানে
The Murderer,খুনি
The Oil,তেল
The Sword,তরবারি
Partner,অংশীদার
Watching,দেখছি
God'S,ঈশ্বরের
Will Catch,ধরবে
The Crane,ক্রেন
To Handle,পরিচালনা করতে
Of Speech,কথার
Satan'S,শয়তানের
Drive,ড্রাইভ
The Truck,ট্রাক
Of Crime,অপরাধের
The Gym,জিম
Denial,অস্বীকার
Percy,পার্সি
High Up,উঁচুতে
In The Past,অতীতে
Weight,ওজন
All Right,ঠিক আছে
Parker,পার্কার
Forbidden,নিষিদ্ধ
To Put,করা
The Sea,সমুদ্র
Movement,আন্দোলন
Bright,উজ্জ্বল
Michael,মাইকেল
Victor,ভিক্টর
In The World,এ পৃথিবীতে
Peabody,পিবডি
The Cup,কাপটি
To Brother,ভাইয়ের কাছে
Defeated,পরাজিত
In This Way,এইভাবে
Pounds,পাউন্ড
So Long,এত লম্বা
Of Energy,শক্তির
Connection,সংযোগ
In The Future,ইন দ্য ফিউচার
Danny,ড্যানি
An Insult,একটি অপমান
In College,কলেজে
Training,প্রশিক্ষণ
The Child,শিশু
Meter,মিটার
Preferred,পছন্দের
A Little Bit,অল্প একটু
Look After,দেখাশোনা করা
Comfort,আরাম
Of The Future,ভবিষ্যতের জন্য
Bruce,ব্রুস
Matching,ম্যাচিং
Talk Too,কথাও
Losing,হারানো
Pistol,পিস্তল
Teeth,দাঁত
Helicopter,হেলিকপ্টার
Involved,জড়িত
The Movie,চলচ্চিত্রটি
Robbery,ডাকাতি
Logic,যুক্তিবিদ্যা
Boxing,বক্সিং
The Interest,আগ্রহ
Glass,গ্লাস
Heavy,ভারী
Super,সুপার
The Jinn,জ্বীন
You Wanted,তোমাকে খোঁজা হচ্ছে
Wanting,চাইছে
The Promise,প্রতিজ্ঞা
In Class,ক্লাসে
The Ice,বরফ
Ticket,টিকিট
Scott,স্কট
In Bed,বিছানায়
The Chef,আপনি উত্তর দিবেন না
Properly,যথাযথভাবে
National,জাতীয়
Undoubtedly,নিঃসন্দেহে
Chest,বুক
Service,সেবা
China,চীন
Group,গ্রুপ
To Leave,চলে যেতে
The Latest,সাম্প্রতিক
A While,কিছুক্ষণ
Of Gold,সোনার
Fruit,ফল
Ran Away,দূরে দৌড়ে
Of Joy,আনন্দের
Didn'T Think,ভাবিনি
Wherever,যেখানেই হোক
The Other,অন্যটি
To Go Around,কাছাকাছি যেতে
The Moon,চাঁদ
Property,সম্পত্তি
The Teacher,শিক্ষক
Payment,পেমেন্ট
Solomon,সলোমন
The Hole,গর্ত
Stuff,জিনিসপত্র
Will Bring,নিয়ে আসবে
Deadly,মারাত্মক
In Return,প্রত্যুত্তরে
On The Table,টেবিলের উপর
Borrow,ধার
Roger,রজার
Mailman,মেইলম্যান
America'S,আমেরিকার
Speak Up,বলতে থাক
Makes,তৈরি করে
Well Done,সাবাশ
The Rope,দড়ি
Take Away,ছাড়াইয়া লত্তয়া
The Terrorist,দ্য টেররিস্ট
At The Door,দরজায়
Habit,অভ্যাস
The Soldier,সৈনিক
Excited,উত্তেজিত
Disease,রোগ
Deposit,জমা
Sonamani,সোনামণি
Strict,কড়া
In Such A Way,এই ভাবে
Jesus,যীশু
Two People,দুইজন মানুষ
By Walking,হেঁটে
Mobile,মুঠোফোন
Wants,চায়
The Dance,নাচ
The Spirit,আত্মা
Shivam,শিবম
To The Police,পুলিশের কাছে
Hagrid,হ্যাগ্রিড
The Witness,সাক্ষী
Mutant,মিউট্যান্ট
Kidnapping,অপহরণ
Of The Case,মামলার
Winner,বিজয়ী
Along With,সাথে
Isolated,ভিন্ন
On The Island,দ্বীপে
Eddie,এডি
Picked Up,পিক আপ
The Forest,বন
Benjamin,বেঞ্জামিন
Will Listen,শুনবে
If You Take,যদি নেন
At The Party,অনুষ্ঠানে
To The Wife,স্ত্রীর কাছে
Saving,সংরক্ষণ
Drama,নাটক
Improvement,উন্নতি
Escape,পলায়ন
The Lion,সিংহ
Cairo,কায়রো
The Driver,চালক
Of Law,আইন এর
Disappointed,হতাশ
Of Nature,প্রকৃতির
Put In,ভিতরে রাখুন
Did Not Come,আসে না
On The Roof,ছাদে
By Seeing,দেখে
The Beast,পশু
Numerous,অনেক
Of Which,কোনটি
The Bottle,বোতল
Of Security,নিরাপত্তার
Doctor'S,ডাক্তার এস
Shower,ঝরনা
The Ring,আংটিটি
Of The Hour,অফ দ্যা আওয়ার
Husband'S,স্বামীর
The Ox,ষাঁড়
How Many Times,কতবার
Stopped,বন্ধ
In The Game,খেলা
Steps,ধাপ
Nowadays,আজকাল
In The Shop,দোকানে
Of Fear,ভয়ের
By Saving,সংরক্ষণ করে
Missile,মিসাইল
Of The Government,সরকারের
You Took,তুমি নিয়েছ
Delicious,সুস্বাদু
On The Number,নম্বরে
Happiness,সুখ
By Playing,বাজিয়ে
Starling,স্টারলিং
Became,হয়ে গেল
Will Move,সরানো হবে
Will Leave,চলে যাবে
Football,ফুটবল
Oscar,অস্কার
Get Well,সুস্থ হও
Did Not Give,দেননি
In The Dark,অন্ধকারে
Major,মেজর
To Listen,শোনা
Tamizh,তমিজ
At The Station,স্টেশনে
Of Place,অফ প্লেস
Illegal,অবৈধ
Connected,সংযুক্ত
Go Out,বাহিরে যাও
Hospital,হাসপাতাল
Confidence,আত্মবিশ্বাস
Fairy,পরী
Bringing,আনয়ন
Resistance,প্রতিরোধ
I Would Say,আমি বলব
Formula,সূত্র
The Station,স্টেশন
Russian,রাশিয়ান
Electricity,বিদ্যুৎ
Religion,ধর্ম
Genuine,অকৃত্রিম
Salary,বেতন
Only You,শুধু তুমি
Of Food,আপনি উত্তর দিবেন না
Benefit,সুবিধা
Has Risen,জেগে উঠেছে
Chocolate,চকোলেট
Passport,পাসপোর্ট
Married,বিবাহিত
Don'T Say,বলবেন না
Of Air,বায়ুর
The Detective,গোয়েন্দাটি
Operation,অপারেশন
Backward,পশ্চাৎপদ
Independent,স্বাধীন
Will Not Get,পাব না
College,কলেজ
Stephen,স্টিফেন
Burned,পুড়ে গেছে
Of The Room,রুমের
Break,বিরতি
The Job,চাকরীটি
Stern,স্টার্ন
To Wear,পরতে
Of The Wall,প্রাচীর এর
On That Side,সেই দিকে
To Obey,মান্য করা
Central,কেন্দ্রীয়
Experience,অভিজ্ঞতা
Cover,আবরণ
Follow,অনুসরণ করুন
Lover,প্রেমিকা
Consideration,বিবেচনা
Table,টেবিল
